,undlName,text
15,SGXL.SI,"singapore exchange  - q3 net profit s138 mln, up 38"
14,SGXL.SI,singapore exchange  -  declared a dividend of 7.5 cents
13,SGXL.SI,"singapore exchange  -  qtrly revenue s296 mln, up 29"
12,SGXL.SI,"singapore exchange- from fy2021, to adopt hy financial reporting, with dividends continued to be paid on qtrly basis"
7,SGXL.SI,singapore exchange- interim dividend payable on 13 may
10,SGXL.SI,singapore exchange  -  fy2020 operating expense guidance of between s465 mln  s475 mln will be revised to between s485 mln  s495 mln
3,SGXL.SI,singapore exchange q3 profit up 38 to 13-yr high as trading volume surges
1,SGXL.SI,3-singapore exchange q3 profit hits 13-year high as trading volumes surge amid pandemic
0,SGXL.SI,singapore exchange sees worst day in over two years despite q3 profit jump
